OTUID,taxonomy,Kingdom,Phylum,Class,Order,Family,Genus,Species,,,,
3862568ca4dc1bc7235e9c8b077ebb71,k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__,Bacteria,Planctomycetes,Phycisphaerae,WD2101,,,,,,,
aa4db01e6eeaeffe41d4618fcfe8f7c6,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,,,,
6c4bb9aa2a79be5886d972b0b3945ac3,k__Bacteria; p__Armatimonadetes; c__0319-6E2; o__; f__; g__; s__,Bacteria,Armatimonadetes,0319-6E2,,,,,,,,
48b852ec7447feb6e9ab782648a4691f,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__BD7-3; f__; g__; s__,Bacteria,Proteobacteria,Alphaproteobacteria,BD7-3,,,,,,,
28f0d98560338398297704616044f78c,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Kineosporiaceae; g__Kineococcus; s__xinjiangensis,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Kineococcus,xinjiangensis,,,,
a3176710650471453ed60e6f0f189414,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,,,,,
1de32a1d11c983e7588e0fa9c7e963e1,k__Bacteria,Bacteria,,,,,,,,,,
a8ae59785312a7b74bf8cafac70b8f61,k__Bacteria; p__Armatimonadetes; c__Chthonomonadetes; o__Chthonomonadales; f__Chthonomonadaceae; g__; s__,Bacteria,Armatimonadetes,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,,,,,,
50e5f4f053d5dba3ec7887dbdb048831,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,,,,,
85b8641bd48c1d2a253f49b3dc1d52ee,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__AKIW874; g__; s__,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,AKIW874,,,,,,
0c7fac2d2f6d4dcc76d726cb7f1b58ea,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,,,,,
90317288cf886f803a8cd58eeca0fd90,k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__,Bacteria,Chloroflexi,Ktedonobacteria,Thermogemmatisporales,Thermogemmatisporaceae,,,,,,
a267896f8a0ae7a19f2675d765e3e9e0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,,,,,
93931109f989441528e72b5182fa2952,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,,,,,,,
7d706ea4517dce6ade3fee13d150ef8f,k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,,,,,
d922c8dba0436da5a873df9958251a72,k__Bacteria; p__Acidobacteria; c__Acidobacteria-5; o__; f__; g__; s__,Bacteria,Acidobacteria,Acidobacteria-5,,,,,,,,
84aec378eef8eec5ad7b39a3465520ba,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__; g__; s__,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,,,,,
dc7438d0a8f7f5e52f75fe69760a384f,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Ellin329; f__; g__; s__,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,,,,,,,
9836657526680b009e94a81024b845f5,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__Gemmata; s__,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,,,,,
9a5d8e697e4ef12e474797a09791892a,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__rhizosphaerae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,rhizosphaerae,,,,
30b0624bb52b0b9bbc0429b9659a1971,k__Bacteria,Bacteria,,,,,,,,,,
2bdc045316180916a97c89acab48ed09,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,,,,,
a14015012232c4bc32600ecb12a7a800,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Niastella; s__,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,Niastella,,,,,
ab43b107fa7313cf9e7a46cc96a88177,k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,,,,,
ab6ac5691d1fd51b8017142d6fb9a2c3,k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__,Bacteria,Chloroflexi,Ktedonobacteria,Thermogemmatisporales,Thermogemmatisporaceae,,,,,,
b941d75bf159ea6759ab20c0d6f0a090,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,,,,,,
196a27705fa669aec88b434b77da7dea,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,,,,,
32f0a5334d0a2efe466107807c4aebe5,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,,,,,
29a42c92b90b8acd2ca0776f51d5dfb1,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae; g__Terracoccus; s__,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Terracoccus,,,,,
f8df6afa22233216c39a76427f4fdd79,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,,,,,
c434d6a795de40f10eaad0737f3acba5,k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__JG30-KF-CM45; f__; g__; s__,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,,,,,,,
16105427c628293662b708e2ec946786,k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__,Bacteria,Planctomycetes,Phycisphaerae,WD2101,,,,,,,
abb245a1eaa8e77a6fc1610e8e107a9c,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,,,,,
69962ee6ef6c33ad8f92d52fed38a9d1,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,,,,,
5744af2fe215ab9a8b34418b7de44a76,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__Ellin515; g__; s__,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin515,,,,,,
67f7e42b83245e294210a5600628f22a,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter; s__ginsengisoli,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,ginsengisoli,,,,
8dad7687676b7a87f2e3e7d4c2cc5b27,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,,,,,,,
502d115ccfe4d4b19ef626e5fe3c8ed7,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae; g__Terracoccus; s__,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Terracoccus,,,,,
3b2a40ea51e0126e64737655e33ea0ce,k__Bacteria; p__; c__; o__; f__; g__; s__,Bacteria,,,,,,,,,,
2caaa8e3b64137682c133c921aa068aa,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__; s__,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,,,,,
c4eb54458a22c7264ef4d37019169e2d,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,,,,,
f483e8d17008c087a00bd369ff52d1ce,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,,,,,,
d5504ea8ed2f4b55130cb30c6965cdfb,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__; s__,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,,,,,
d5f6169e018851a2e02a5fa50218f6cb,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__MLE1-12; f__; g__; s__,Bacteria,Cyanobacteria,4C0d-2,MLE1-12,,,,,,,
0e27bdc1f7ab844269bcf482e214cd7a,k__Bacteria; p__AD3; c__ABS-6; o__; f__; g__; s__,Bacteria,AD3,ABS-6,,,,,,,,
5bf7495ceee583e69ea1a70ab03b5348,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,,,,,
a0712573b05a3fa65d6a52a65e463a77,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SC-I-84; f__; g__; s__,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,,,,,
6cf088c2bfb89e6a14ce92da8efaaebf,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,,,,,
77359175e72c180ddd493d272a397c80,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SC-I-84; f__; g__; s__,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,,,,,
